"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"from";"created_time";"updated_time";"full_picture";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"wow.summary.total_count";"haha.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"0";"1";"None";"DiscoveryImpactTV";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"205032515976_10157878598375977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"There were once 100,000 tigers across the Asian continent. Today, fewer than 4,000 are left in the wild. Join Discovery’s #ProjectCAT to help double the number of tigers in the wild by 2022: https://projectcat.discovery.com";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2020-03-24T18:25:10+0000";"2021-07-18T03:47:31+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/p480x480/90532333_10158313014868586_2611611351742676992_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeHdxJUXoJN-3yS95Osbiy3iG9GnEEJEx2gb0acQQkTHaL1G2STFoqkwaODGnscG8p1Ddyh8LnwxHknotU5dKX8Z&_nc_ohc=_35e4lOl-nIAX-OroAI&_nc_ht=scontent.fdac23-1.fna&oh=103490a10f7424b447b9e1aa396736b8&oe=61227D2B";"57";"66";"563";"495";"61";"1";"0";"6";"0"
"1";"3";"1";"205032515976_10157851480475977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"Turn Up Fight Hunger and help feed kids who need school meals during #COVID19 closures & beyond. Text HUNGRY to 707070 to donate and help feed kids in the hardest hit communities right now and all year long. #DiscoveryInc will match up to $50k through 5/16/20. #TurnUpFIghtHunger.   By texting 707070 you agree to receive autodialed texts. This is not a condition of making your donation.";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2020-03-19T00:38:39+0000";"2021-06-19T03:43:39+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/89970037_10156908602596891_6420248630254370816_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeE98g-0qk0ZlYg6S_ONx54n394Nosq9N4bf3g2iyr03hhTSTP55wUVgPt0dnNCDHPkORXpNy6xtJPp7kbgY7Yvs&_nc_ohc=k56K8bGnCaQAX91v0AY&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=adc3082f16a524f9117bb51156bab2d8&oe=6123B6F0";"8";"6";"101";"95";"4";"1";"1";"0";"0"
"1";"4";"1";"205032515976_10157667747100977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"Who Will Write Our History airs Sunday Jan 26 at 3P on Discovery and Discovery GO.";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2020-01-21T18:40:28+0000";"2021-07-06T07:01:24+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/82283145_10157667746895977_4128248304930652160_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=dd9801&_nc_eui2=AeHE7dhzEaW7bN_jeGHvh3LkbmOWHew8JqNuY5Yd7Dwmo6y_Wc8rL6bPQKpivpMxqVJoERGI1Y6EEb4gRbW4-Urj&_nc_ohc=9M2y61XAyFUAX-5AvHK&_nc_ht=scontent.fdac23-1.fna&oh=614590f497676a1aea52e328d2d12cc1&oe=6121CCD6";"9";"8";"116";"112";"2";"2";"0";"0";"0"
"1";"5";"1";"205032515976_10157435850000977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"What drives us to embrace hateful ideas? Explore the human psychology of hate on the finale of #WhyWeHate, now streaming on Discovery GO.";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2019-11-05T02:07:08+0000";"2021-04-05T12:52:59+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQEwzxhrNp8DujbA&url=https%3A%2F%2Fapi.discovery.com%2Fv1%2Fimages%2F5dbca411f5b0ee67e81a7ed6%3FaspectRatio%3D16x9%26width%3D1200%26key%3D3020a40c2356a645b4b4&_nc_eui2=AeGjCbCx0Sum6aeScEc4Iv6VZA7DFZTUnnNkDsMVlNSecz3LL8w_eRZlCQ_SBdjwbqJtaXmTbtCn8SfARAItxeqN&ccb=3-5&_nc_hash=AQFSBTy08wuSlpgb";"8";"18";"132";"128";"2";"2";"0";"0";"0"
"1";"6";"1";"205032515976_10157378993560977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"The eye-opening series #WhyWeHate continues Sundays at 10p on Discovery.   Keep the conversation going. Download the free discussion guide now at http://Discovery.com/DiscussHate";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2019-10-18T19:00:22+0000";"2021-05-18T08:11:01+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/70940066_994341870905650_2592696504749654016_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeFduZcuYngpPbnllPnJKfk_QuxF7BdHs31C7EXsF0ezfYrE4W4fBjbM-XWa5YmBpE4xQfnLN-hwMTi7SLT34wUN&_nc_ohc=Hf2mjkmDQlMAX-VqLwl&_nc_ht=scontent.fdac23-1.fna&oh=c90a25ae709f64f2f45247983205a3bd&oe=61020CBF";"5";"18";"158";"147";"4";"2";"3";"1";"1"
"1";"7";"1";"205032515976_10157378987380977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"Hear why executive producers Alex Gibney and Steven Spielberg are hopeful about the message of #WhyWeHate.";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2019-10-17T00:45:09+0000";"2021-06-10T13:14:03+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQEgMSecqB5-mIIU&url=https%3A%2F%2Fapi.discovery.com%2Fv1%2Fimages%2F5da099f5f5b0ee67e81a5bde%3FaspectRatio%3D16x9%26width%3D1200%26key%3D3020a40c2356a645b4b4&_nc_eui2=AeErGWVjFoHZF4Z98IourzbBvhdTEh-ZO2i-F1MSH5k7aB6ecWTGOTMblJg6WAPNHNLDwHyGn6jnRtMWRmm82YFa&ccb=3-5&_nc_hash=AQFUMiT7fEvQvHhW";"4";"12";"83";"81";"1";"1";"0";"0";"0"
"1";"8";"1";"205032515976_10157368213850977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"Conversation sparks change.   Watch #WhyWeHate tonight at 10p on Discovery and download our free Discussion Guide at Discovery.com/Hate.";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2019-10-13T19:30:40+0000";"2019-10-20T13:47:35+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/70062700_566462430824004_2113185529527795712_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeEbrdNYpy4etyjqTI6O0yRDqPQVn31NRnSo9BWffU1GdJMbTzrqsZjftCWx7jb2vY3XksNn18oB1xfUHSkaoWz2&_nc_ohc=I-GB9qrh3RkAX9fPjEK&_nc_ht=scontent.fdac23-1.fna&oh=4473d8cee4f4ca5aa752805870685373&oe=61014B83";"2";"14";"110";"106";"2";"0";"1";"1";"0"
"1";"9";"1";"205032515976_10157355546210977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"It's time to turn Hate into Hope. Watch the first episode of Why We Hate unlocked for a limited time on the Discovery GO app.👇🏽";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2019-10-09T04:35:05+0000";"2020-06-18T20:51:24+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQEByxVWIX2yTj6H&url=https%3A%2F%2Fapi.discovery.com%2Fv1%2Fimages%2F5d97a72285aeee490b4b779c%3FaspectRatio%3D16x9%26width%3D1200%26key%3D3020a40c2356a645b4b4&_nc_eui2=AeFwtuXqiBP1aNBx2mYtkZHw4xrVy1BjYpzjGtXLUGNinBnuk2zRBUrrIQ4nfaMq-3HVAY59PPz9uJwKg1vCsM5F&ccb=3-5&_nc_hash=AQHtBNvstxRRyQn1";"2";"15";"58";"56";"2";"0";"0";"0";"0"
"1";"10";"1";"205032515976_10157337772410977";"data";"data.*";"fetched (200)";"2021-07-25 00:59:08.082462";"Facebook:/<page-id>/posts";"Do Bonobos hold the secret to understanding what drives people to commit acts of violence?  Find out in #WhyWeHate, Sunday Oct 13 at 10p on Discovery. #InternationalDayofNonViolence";"{""name"": ""Discovery Impact"", ""id"": ""205032515976""}";"2019-10-02T20:26:21+0000";"2021-03-30T13:16:29+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/69159661_2458463034382319_1279898703724806144_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeG7JBiShzA5ZZCu3TTZbD-IePnFRo-so7t4-cVGj6yjuxRL4AHXWqBPen6UUp5EbwSk4sf_OKi4b9gneomWQ7zT&_nc_ohc=jZJzNLRk24AAX9HmrqC&_nc_ht=scontent.fdac23-1.fna&oh=0d5226e66c7f841a48fd9f12ca34aa81&oe=6101DF3D";"7";"54";"194";"175";"15";"2";"0";"2";"0"
