"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"from";"created_time";"updated_time";"full_picture";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"wow.summary.total_count";"haha.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"0";"1";"None";"MercedesBenz";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"6604386669_10159397008596670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Come aboard the EQC: for a future of journeys made locally emission-free.  📸 Nyck de Vries #EQC #MercedesEQ  [EQC 400 4MATIC | Stromverbrauch kombiniert: 21,9–19,4 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | mb4.me/DAT-Leitfaden-electric | mb4.me/WLTP_HQ]";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-25T10:00:09+0000";"2021-07-25T11:43:06+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/224388707_10159397008601670_3442238063894747744_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeH_2gtOCLiH6mpUIiRv_xGgf3mqy5fLbZ9_earLl8ttn2dpFtm2xD1virJFoT25aeGHKsT5FnPbHwNiGfGM5D0Z&_nc_ohc=OTbjsLLAItkAX_KyPku&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=66a695d71480c2d0291d2fcade64d3c3&oe=610209B1";"16";"14";"1577";"1432";"138";"2";"0";"4";"1"
"1";"3";"1";"6604386669_10159396752176670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Choose performance and let the journey begin!  📷 lew.de (IG) for #MBcreator  #MercedesBenz #GLE";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-25T06:00:07+0000";"2021-07-25T11:39:57+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/224943715_10159396752201670_3682625730259578463_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeGTca82HUKC9EeQZvnBjthsJ1gCnqh4WYAnWAKeqHhZgEskiNtE12YzBiOHsCz2vV05tfuUA6GZwgEKRN5cu9OG&_nc_ohc=y8TjLnmExloAX-iD0L6&_nc_ht=scontent.fdac23-1.fna&oh=67baa14dc8792fa1b36f999c41a35f05&oe=61020BD5";"36";"37";"3695";"3322";"355";"9";"1";"8";"0"
"1";"4";"1";"6604386669_10159396455041670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Dream car!  Via Mercedes-Benz G-Class  #MercedesBenz #GClass #GWagon";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-25T02:00:02+0000";"2021-07-25T11:43:44+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/p720x720/222381322_10159396455056670_2738536632191287002_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeEbqkoCcV2AQdfZLKZSu8zoIKea2XpiZWggp5rZemJlaK-oQkA3UrGos_p176ctt44InxTZAeuEcx645Vujgk14&_nc_ohc=Z31ES_C5_ykAX_y4Mb6&_nc_ht=scontent.fdac23-1.fna&oh=3767119877e35e481dc4c1cae50e4dd7&oe=6102BFA9";"48";"64";"5015";"4320";"679";"8";"0";"7";"1"
"1";"5";"1";"6604386669_10159396085576670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"An all-electric galaxy! The #EQA shines with its dynamism, design and outstanding performance.   📷 studio.odeonsplatz (IG) sarashakeel (IG)  #StudioOdeonsplatz #ShineOn #MercedesBenz";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-24T21:55:02+0000";"2021-07-25T11:09:08+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/224548968_10159396085591670_6019508819196466533_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeEPfqacM8JuoWrElfD8KzwLdu_-RxZUpMt27_5HFlSky92h19fMT0tK8NlKgAy5wXux5gTm_j55cm8ZPQonUIOP&_nc_ohc=aOAJrYt8GWQAX-mvrU_&_nc_ht=scontent.fdac23-1.fna&oh=3fc64ff1c67c1394c9518439db50aa95&oe=610258D1";"27";"38";"3500";"3054";"421";"12";"4";"8";"1"
"1";"6";"1";"6604386669_10159395697111670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"Ready to amaze – the Mercedes-Benz GLA.  📷 Noahsambenjamin for #MBcreator  #GLA #MercedesBenz";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-24T18:00:05+0000";"2021-07-25T08:29:13+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/224786831_10159395697116670_4662725063670918820_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeHwaE9vqsq5ABFDWTM-fqTja8epsvJAnuprx6my8kCe6kAPn66EnB3IRbPVsRGBj9GX5lzE-WO04r2cvEFEMXR3&_nc_ohc=NBXuxQteT24AX-riMY2&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=58a09a96f2f7376ec6ce3f21cf1a269a&oe=6101ED98";"32";"30";"3124";"2775";"336";"5";"2";"5";"1"
"1";"7";"1";"6604386669_10159395272346670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"With its rose gold trim elements, the quilted crystal white nappa leather and the open-pore wood floor with inlaid aluminium, the interior of our Vision Mercedes-Maybach 6 Cabriolet is a perfect synthesis of intelligence and emotion.   Via Gorden Wagener  #MercedesMaybach #VisionMercedesMaybach6 #MBdesign #Luxury";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-24T14:00:10+0000";"2021-07-25T11:41:37+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/p720x720/224010187_10159395272186670_1176735780533298708_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeHonhHuYgDxo8uYkYufsoe7jZZNlMdtRdaNlk2Ux21F1pHdqnR60TzLIgLQS1VoaD5o9b4OYUyv2tNk4yPafCmx&_nc_ohc=sFfDVrTDrcIAX-pk8MH&_nc_ht=scontent.fdac23-1.fna&oh=226d3d2e0b23cbb8f4944aeb4a203ca3&oe=610192A2";"51";"90";"4368";"3761";"555";"42";"4";"5";"1"
"1";"8";"1";"6604386669_10159394871166670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"It’s not every day that you see something this extraordinary.  📷 julian.m04 (IG)  #DrivingPerformance #MercedesAMG #AMGSpirit #AMG";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-24T10:00:07+0000";"2021-07-25T12:03:44+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/p720x720/223357356_10159394871176670_8558141089870006180_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeFopT3wHU_VPnK-j7KqMblEvIS87fY4Esu8hLzt9jgSy2wOKA9jQQ7vo3dmxScWaESH_Q2IdFKCxJT7SrDJXP7h&_nc_ohc=X57Y18-7H_IAX_ssXbB&_nc_ht=scontent.fdac23-1.fna&oh=80e6b463b1a5117ca5c7e1cb30b360c7&oe=610172D2";"69";"108";"8632";"7529";"1061";"27";"0";"13";"2"
"1";"9";"1";"6604386669_10159394605321670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"The perfect balance of style and luxury.  📷 frechphotography (IG) with gentiansmile (IG) for #MBcreator #MercedesAMG #DrivingPerformance #AMGSpirit  [Mercedes-AMG C 63 S Cabriolet | Kraftstoffverbrauch kombiniert: 11,1 l/100 km | CO₂-Emissionen kombiniert: 255 g/km | mb4.me/DAT-Leitfaden | mb4.me/WLTP_HQ]";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-24T06:00:11+0000";"2021-07-25T10:46:08+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/223533355_10159394605241670_8371902817881812778_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeEqOQ3ky8BCRFUTjhJniKVA0O8sPQKJKkzQ7yw9AokqTGKnh_fAt1RMvRH7MiYIdRZvu0BcFhitksLFpOX_c26S&_nc_ohc=xA3GVwB3qnYAX_pKTpC&_nc_ht=scontent.fdac23-1.fna&oh=cfd2fc573c787a189918ce226431280c&oe=6102A957";"18";"29";"3123";"2767";"343";"8";"0";"5";"0"
"1";"10";"1";"6604386669_10159394275116670";"data";"data.*";"fetched (200)";"2021-07-25 17:36:55.107662";"Facebook:/<page-id>/posts";"The unmistakable style of the Maybach brand is characterized by its sublime beauty, utmost aesthetics and grace.  📷  rawlenses (IG) for #MBcreator  #MercedesMaybach #Maybach #GLS #luxury  [Mercedes-Maybach GLS 600 4MATIC | Kraftstoffverbrauch kombiniert: 12,0 l/100 km | CO2-Emissionen kombiniert: 275 g/km | mb4.me/DAT-Leitfaden | mb4.me/WLTP_HQ]";"{""name"": ""Mercedes-Benz"", ""id"": ""6604386669""}";"2021-07-24T02:00:02+0000";"2021-07-25T07:04:22+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/222177165_10159394275136670_5204125718159078583_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=2d5d41&_nc_eui2=AeEv2qqKSnD_8yzYuMR7wAffn0rVWldNuM6fStVaV024zh4LOxIyZ52Ou__3I8RHq4Q9Oqvqsyuz-xzP6Ihb_OXy&_nc_ohc=TKEtiDu-e4AAX8BDsFs&_nc_ht=scontent.fdac23-1.fna&oh=88a9df377a5da9eb9c50c3d0f97c9620&oe=6101D148";"52";"84";"6189";"5465";"692";"24";"2";"5";"1"
