"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"from";"created_time";"updated_time";"full_picture";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"wow.summary.total_count";"haha.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"0";"1";"None";"africacdc";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"788477174582031_4175602295869485";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"Session d’information virtuelle sur le Programme “Sauver des Vies et des Moyens de Subsistance”. Rejoignez-nous pour discuter sur comment devenir partenaire de mise en oeuvre afin d'etablir et soutenir les Centres de Vaccination COVID-19  dans les Etats Membres de l’Union Africaine.  📅  27/07/2021 ⏰ 15h-16h (GMT+3/Heure de l'Afrique de l'Est) 🔗 https://bit.ly/2V8G18K #AfricaResponds Africa CDC Mastercard Foundation  #NewPublicHealthOrder #SavingLives #SavingLivelihoods";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-25T08:43:39+0000";"2021-07-25T11:33:13+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQHqx1FnFNQesJvE&url=https%3A%2F%2Fafricacdc.org%2Fwp-content%2Fuploads%2F2021%2F07%2FFrench-RFP-advert-V1-2.jpg&_nc_eui2=AeGVnAdAMLXhs4ECu2X-xlGtjCClSJibZuCMIKVImJtm4EXJnhP-g9paV2oC-JOuTW0LU_8nBk7W8XkDr2BlhGyF&ccb=3-5&_nc_hash=AQHy2Z_dKl0m9ner";"50";"7";"6236";"6160";"67";"4";"3";"0";"2"
"1";"3";"1";"788477174582031_4172610566168658";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"WHY DO WE NEED TO BE VACCINATED AGAINST COVID19? The only way to break the chain of transmission is to have herd immunity 👨‍👦‍👦👨‍👩‍👧. Which means that 60% of the global population should be vaccinated 💉. Protect yourself and others - Get vaccinated 💉 https://twitter.com/AfricaCDC/status/1418831843995095041 #VaccinesForAfrica #AfricaResponds #COVID19";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-24T07:27:20+0000";"2021-07-25T11:12:26+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/211672281_1156756898166130_5167944174048365410_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeGCsv51XRxbHxpI6B0mi0uyhK31KlNRdeCErfUqU1F14Bo-nmKUPE9i-FYu6-MoK8j10eXT8YBnVo2fv0nTcNq3&_nc_ohc=vB5ipVvsA2MAX9MquiX&_nc_ht=scontent.fdac23-1.fna&oh=c085610056b7429de1585a4e8ce532e2&oe=6101A551";"1296";"486";"127756";"126752";"790";"80";"82";"18";"34"
"1";"4";"1";"788477174582031_4167315780031470";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"Vaccine Lessons From COVID Could Help Prevent Future Pandemics. https://bit.ly/2V1gkqs #AfricaResponds #COVID19";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-22T13:49:58+0000";"2021-07-25T09:56:48+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQF-kK3MHuM2dKGA&url=https%3A%2F%2Fstatic.scientificamerican.com%2Fsciam%2Fcache%2Ffile%2FBA281467-082D-42C7-A5CA061BDF4887CD.jpg&_nc_eui2=AeHX_cbFXxpqtMPbAZIer4XCpwKbWG0HWuCnAptYbQda4DEN80Wv3TIsjmBF-TIwVdsRs7zzRSB9FzBcggjPo8xk&ccb=3-5&_nc_hash=AQF2jdHYRCcOsvxs";"1070";"252";"73664";"72949";"560";"44";"68";"24";"19"
"1";"5";"1";"788477174582031_4166690956760619";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"Africa CDC SWAT team meeting with the Minister of Health H.E. Dr. Austin Demby to discuss on areas of collaboration for COVID-19 response in Sierra Leone. #COVID19  #AfricaResponds #NewPublicHealthOrder";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-22T09:14:50+0000";"2021-07-25T10:30:12+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/p180x540/222424367_4166690546760660_9186004711619259982_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&_nc_eui2=AeEsbBs-JijB2Obvajee5UWdewd5DFRWdNB7B3kMVFZ00JIqhFxCuXEHNd3A9NsVinINnT6NnHgUz70BHeF6mMhQ&_nc_ohc=-1KBF_-U5b0AX9a_cHO&_nc_ht=scontent.fdac23-1.fna&oh=0b004d0539e49a90ff56f91bcfd25681&oe=61021E83";"1696";"633";"118198";"116530";"1395";"92";"117";"32";"32"
"1";"6";"1";"788477174582031_250778396583273";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"AFRICA CDC WEEKLY COVID-19 BRIEFING | July 22, 2021  Powered by Restream https://restream.io/  Speakers: Dr. John Nkengasong | H.E. Jessye Lapenn | Mr. Strive Masyiwe Contact us @AfricaCDC (Facebook, Twitter, LinkedIn, Instagram) Email: africacdc@africa-union.org Telephone: +251 11 551 77 00";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-22T09:00:40+0000";"2021-07-25T11:01:03+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/210663263_250778526583260_3085334356092745482_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeEuNZjP2J8COWOVGt8BUzxQtbuMSagcHka1u4xJqBweRlSdQ5WEcC3klPt4mszbn62M1fZwDhFlW-E59HorLWZK&_nc_ohc=wnL2ajXRvUoAX_kEPya&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=d02514a09b274eec8f4b116d3609eefc&oe=6101A264";"111";"86";"892";"839";"46";"1";"3";"3";"0"
"1";"7";"1";"788477174582031_4164581550304893";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"THE CURRENT DATA CLEARLY SHOWS THAT COVID-19 VACCINES OFFER MANY MORE ADVANTAGES. Protect yourself, your family and others - Get vaccinated 💉  #ShareTheTruth #VaccinesForAfrica #PAVM #AfricaResponds #COVID19 #NewPublicHealthOrder";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-21T15:26:17+0000";"2021-07-25T08:51:15+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/209886196_1113581415831153_4269703567162150957_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeE2QTEsgp4qkTLncZDoXTyAQ3mXYEMovrxDeZdgQyi-vIfrJav4JBswF3_I-iAhPHeP_EGcParc1fZTZlGA7UAu&_nc_ohc=TfktD8_A2CoAX82hANn&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=16dddb8a32b13cbcb1c72a19fa452b9a&oe=61027B6B";"1301";"658";"109682";"108654";"757";"67";"139";"37";"28"
"1";"8";"1";"788477174582031_4164527100310338";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"In order to increase the percentage of people vaccinated across the continent, Africa CDC and CEPI (Coalition for Epidemic Preparedness Innovations), teamed up in spring 2021 to dramatically boost African #Vaccine research, development & manufacturing. https://go.nature.com/2VUzNcL #COVID19 #AfricaResponds #NewPublicHealthOrder";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-21T15:02:16+0000";"2021-07-25T04:39:49+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQFvRpG6cTyDjwR7&url=https%3A%2F%2Fmedia.nature.com%2Flw1024%2Fmagazine-assets%2Fd42473-020-00444-x%2Fd42473-020-00444-x_19372634.jpg&_nc_eui2=AeHPt4GfMv3hiIczY_hGucenNe_Un_2M_3U179Sf_Yz_dWaPbRjnb-ff7CucDlM6erHR13RUiwCNKr5jG1SnBBC3&ccb=3-5&_nc_hash=AQGM0sO3kfjkWhqK";"976";"478";"85812";"84705";"722";"85";"233";"42";"25"
"1";"9";"1";"788477174582031_2914912652056052";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"AFRICA CDC Africa CDC/ICAN Webinar Series on Infection Prevention and Control | July 21, 2021  Powered by Restream https://restream.io/  Topic: The Role of IPC professionals in a Rapid Response Team  Contact us @AfricaCDC (Facebook, Twitter, LinkedIn, Instagram) Email: africacdc@africa-union.org Telephone: +251 11 551 77 00";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-21T10:00:35+0000";"2021-07-23T01:05:38+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/219500393_2914912758722708_8401629220303194839_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeFNe2aeY3L9B7BMi8KiEkaisqN_piVkGaiyo3-mJWQZqCrsDI6dNlWpxl5_7OgL2KBIxn3Xk4l0imO7HeoQ6Q0k&_nc_ohc=YzS-9ji5Gv4AX9vNfAb&_nc_ht=scontent.fdac23-1.fna&oh=e14b733ddcd7925b3b4f389905ff197d&oe=61032D65";"97";"59";"753";"735";"14";"2";"1";"1";"0"
"1";"10";"1";"788477174582031_4161197053976676";"data";"data.*";"fetched (200)";"2021-07-25 17:08:14.587379";"Facebook:/<page-id>/posts";"Africa CDC has briefed the African group permanent representatives in the diplomatic and diaspora communities on status of acquisition and rollout of COVID-19 vaccines in Africa.  #COVIDVaccines #AfricaResponds #NewPublicHealthOrder #VaccinesForAfrica More information 👇 https://bit.ly/2UTNBDY";"{""name"": ""Africa CDC"", ""id"": ""788477174582031""}";"2021-07-20T11:45:52+0000";"2021-07-25T08:17:33+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQEJvyOuQ3VvCNxG&url=https%3A%2F%2Fafricacdc.org%2Fwp-content%2Fuploads%2F2021%2F04%2FJaJs.jpg&_nc_eui2=AeHkKdYd5YTpZSQZ2Rfh7ISd0z_ndb1fXQbTP-d1vV9dBlQtMc8_CQh0e1Jee4cRWuHjko-Wi1ZRGDObJ1mRXtEI&ccb=3-5&_nc_hash=AQESEKAIea1nq3Sc";"1144";"286";"120761";"119616";"910";"64";"84";"53";"34"
